0,600,480,390,330,273,210,150,120,90,59,31,16
300,3.71962,3.6723,3.63037,3.52049,3.50544,3.50828,3.39334,3.30116,3.1655,2.81703,2.74236,2.25954
310,3.62591,3.51262,3.41923,3.08886,3.04334,3.00001,2.73918,2.56826,2.39457,2.07918,2.03597,1.69068
320,3.27395,3.09322,2.92274,2.51709,2.44967,2.36949,2.09168,1.92554,1.7631,1.50652,1.46649,1.22785
330,2.7646,2.56776,2.38703,2.01417,1.93701,1.83974,1.57452,1.4232,1.2712,1.05916,1.00637,0.833829
340,2.33442,2.14426,1.97171,1.64317,1.55964,1.45195,1.20843,1.07342,0.935385,0.758088,0.699943,0.571047
350,1.99125,1.813,1.65155,1.36352,1.27972,1.17414,0.960529,0.844048,0.725198,0.580329,0.526842,0.426724
360,1.7033,1.53738,1.38817,1.13669,1.05882,0.963727,0.78112,0.682072,0.582175,0.464168,0.417705,0.336267
370,1.444,1.29345,1.15998,0.945774,0.878205,0.796473,0.64171,0.558079,0.47328,0.376759,0.335546,0.268345
380,1.22589,1.09422,0.979815,0.79987,0.744541,0.676234,0.542919,0.471705,0.398428,0.316455,0.278812,0.222285
390,1.04557,0.936888,0.844519,0.693809,0.649517,0.59186,0.473606,0.411067,0.345158,0.272375,0.236914,0.188612
400,0.917896,0.832258,0.758543,0.627769,0.590878,0.538884,0.430003,0.372932,0.312454,0.245089,0.211027,0.168931
410,0.831512,0.761905,0.698349,0.579261,0.54497,0.49627,0.397645,0.348418,0.29676,0.235785,0.20437,0.167997
420,0.76142,0.698626,0.638515,0.527111,0.493694,0.446438,0.356579,0.312692,0.263075,0.210562,0.184238,0.156326
430,0.693826,0.637163,0.582189,0.482319,0.454238,0.412984,0.331644,0.290157,0.23556,0.182351,0.153291,0.12853
440,0.627294,0.583724,0.541891,0.455348,0.434526,0.400124,0.32614,0.283105,0.2238,0.169739,0.141482,0.110419
450,0.597006,0.568378,0.537797,0.457348,0.440771,0.409471,0.334549,0.280566,0.216752,0.161797,0.133229,0.0965048
460,0.614761,0.595387,0.569272,0.485684,0.468955,0.434581,0.3398,0.270389,0.204489,0.150598,0.118896,0.0869812
470,0.673259,0.653321,0.622689,0.526084,0.498735,0.442677,0.310926,0.237051,0.176793,0.13115,0.102621,0.0812609
480,0.748294,0.707516,0.645381,0.518683,0.458399,0.363771,0.226604,0.172886,0.133121,0.105493,0.089949,0.0768972
490,0.721975,0.630912,0.524584,0.391945,0.320294,0.232778,0.145206,0.119065,0.100433,0.0885566,0.0822751,0.0738284
500,0.490707,0.388179,0.298342,0.214734,0.172438,0.129285,0.0944681,0.0867927,0.080624,0.0776618,0.0765789,0.0713916
510,0.244136,0.189381,0.149216,0.114022,0.100353,0.0851594,0.0720823,0.0713044,0.0697586,0.0706424,0.0729418,0.0696443
520,0.125397,0.104887,0.0913768,0.0770206,0.0738955,0.0672766,0.0605641,0.0624354,0.0627805,0.0659693,0.07063,0.0681045
530,0.0836744,0.0752363,0.0698899,0.0622224,0.0619129,0.0575518,0.0535282,0.0569375,0.0582894,0.062999,0.0688431,0.066744
540,0.0673633,0.0624293,0.0595586,0.0544659,0.0553267,0.051804,0.0492227,0.053384,0.0554863,0.0610696,0.0673717,0.0653965
550,0.0594668,0.055976,0.0539072,0.0501488,0.0514271,0.0486931,0.0469226,0.0517388,0.0538451,0.0597318,0.0659201,0.0643234
560,0.0544748,0.0518398,0.0506286,0.0475571,0.0492757,0.0468185,0.0456463,0.0505493,0.0526778,0.0586262,0.0648139,0.0632503
570,0.0515537,0.0495314,0.0487585,0.0461194,0.0479234,0.0458673,0.0449838,0.0498389,0.0519159,0.0577803,0.0638783,0.0623967
580,0.0498063,0.0480681,0.0475603,0.0451638,0.0470716,0.0451654,0.0444069,0.0494344,0.0512796,0.0569469,0.0628797,0.0614661
590,0.0484129,0.0469634,0.0467348,0.0445007,0.0465067,0.0446071,0.0438778,0.0489038,0.0506274,0.0561112,0.0616711,0.060368
600,0.0475521,0.0462013,0.0461162,0.0439824,0.0459963,0.0442338,0.0435956,0.0486094,0.0501393,0.0554511,0.0608564,0.0596274
